name,iso_country,municipality,iata_code
Kaunas International Airport,LT,Kaunas,KUN
Palanga International Airport,LT,Palanga,PLQ
PanevÄÅ¾ys Air Base,LT,PanevÄÅ¾ys,PNV
Å iauliai International Airport,LT,Å iauliai,SQQ
Vilnius International Airport,LT,Vilnius,VNO
Ranger Municipal Airport,US,Ranger,RGR
Alexander Bay Airport,ZA,Alexander Bay,ALJ
Aggeneys Airport,ZA,Aggeneys,AGZ
Alldays Airport,ZA,Alldays,ADY
Bisho Airport,ZA,Bisho,BIY
Bram Fischer International Airport,ZA,Bloemfontain,BFN
Bultfontein Airport,ZA,Bultfontein,UTE
Arathusa Safari Lodge Airport,ZA,Arathusa,ASS
Cradock Airport,ZA,Cradock,CDO
Cape Town International Airport,ZA,Cape Town,CPT
Mubatuba Airport,ZA,Mubatuba,DUK
Zulu Inyala Airport,ZA,Phinda,PZL
Ben Schoeman Airport,ZA,East London,ELS
Empangeni Airport,ZA,Empangeni,EMG
Ellisras Matimba Airport,ZA,Ellisras,ELL
Ficksburg Sentraoes Airport,ZA,Ficksburg,FCB
Grand Central Airport,ZA,Midrand,GCJ
George Airport,ZA,George,GRJ
Giyani Airport,ZA,Giyani,GIY
Rand Airport,ZA,Johannesburg,QRA
Hluhluwe Airport,ZA,Hluhluwe,HLW
Harrismith Airport,ZA,Harrismith,HRS
Hoedspruit Air Force Base Airport,ZA,Hoedspruit,HDS
P C Pelser Airport,ZA,Klerksdorp,KXE
Kimberley Airport,ZA,Kimberley,KIM
Kruger Mpumalanga International Airport,ZA,Mpumalanga,MQP
Komatipoort Airport,ZA,Komatipoort,KOF
Johan Pienaar Airport,ZA,Kuruman,KMH
Kleinsee Airport,ZA,Kleinsee,KLZ
Falcon State Airport,US,Roma,FAL
Lanseria Airport,ZA,Johannesburg,HLA
Lime Acres Finsch Mine Airport,ZA,Lime Acres,LMR
Londolozi Airport,ZA,Londolozi,LDZ
King Shaka International Airport,ZA,Durban,DUR
Lusikisiki Airport,ZA,Lusikisiki,LUJ
Louis Trichardt Airport,ZA,Louis Trichardt,LCD
Langebaanweg Airport,ZA,Langebaanweg,SDB
Ladysmith Airport,ZA,Ladysmith,LAY
Malamala Airport,ZA,Malamala,AAM
Margate Airport,ZA,Margate,MGH
Musina(Messina) Airport,ZA,Musina,MEZ
Mmabatho International Airport,ZA,Mafeking,MBD
Riverside Airport,ZA,Malelane,LLE
Mossel Bay Airport,ZA,Mossel Bay,MZY
Mkuze Airport,ZA,Mkuze,MZQ
Newcastle Airport,ZA,Newcastle,NCS
Ngala Airport,ZA,Ngala,NGL
Nelspruit Airport,ZA,Nelspruit,NLP
Overberg Airport,ZA,Overberg,OVG
Oudtshoorn Airport,ZA,Oudtshoorn,OUH
OR Tambo International Airport,ZA,Johannesburg,JNB
Port Alfred Airport,ZA,Port Alfred,AFD
Port Elizabeth Airport,ZA,Port Elizabeth,PLZ
Plettenberg Bay Airport,ZA,Plettenberg Bay,PBZ
Hendrik Van Eck Airport,ZA,Phalaborwa,PHW
Port St Johns Airport,ZA,Port St Johns,JOH
Prieska Airport,ZA,Prieska,PRK
Pietermaritzburg Airport,ZA,Pietermaritzburg,PZB
Pilanesberg International Airport,ZA,Pilanesberg,NTY
Polokwane International Airport,ZA,Polokwane,PTG
Potchefstroom Airport,ZA,Potchefstroom,PCF
Queenstown Airport,ZA,Queenstown,UTW
Richards Bay Airport,ZA,Richards Bay,RCB
Reivilo Airport,ZA,Reivilo,RVO
Robertson Airport,ZA,Robertson,ROD
Springbok Airport,ZA,Springbok,SBU
Secunda Airport,ZA,Secunda,ZEC
Sabi Sabi Airport,ZA,Belfast,GSS
Sishen Airport,ZA,Sishen,SIS
Skukuza Airport,ZA,Skukuza,SZK
Thohoyandou Airport,ZA,Thohoyandou,THY
Thaba Nchu Tar Airport,ZA,Homeward,TCU
Tzaneen Airport,ZA,Tzaneen,LTA
Prince Mangosuthu Buthelezi Airport,ZA,Ulundi,ULD
Pierre Van Ryneveld Airport,ZA,Upington,UTN
K. D. Matanzima Airport,ZA,Mthatha,UTT
Vryburg Airport,ZA,Vyrburg,VRU
Virginia Airport,ZA,Durban,VIR
Vredendal Airport,ZA,Vredendal,VRE
Vryheid Airport,ZA,Vryheid,VYD
Wonderboom Airport,ZA,Pretoria,PRY
Waterkloof Air Force Base,ZA,Pretoria,WKF
Francistown Airport,BW,Francistown,FRW
Ghanzi Airport,BW,Ghanzi,GNZ
Jwaneng Airport,BW,-,JWA
Kasane Airport,BW,Kasane,BBK
Khwai River Lodge Airport,BW,Khwai River Lodge,KHW
Lobatse Airport,BW,Lobatse,LOQ
Maun Airport,BW,Maun,MUB
Orapa Airport,BW,Orapa,ORP
Palapye Airport,BW,Palapye,QPH
Sir Seretse Khama International Airport,BW,Gaborone,GBE
Sua Pan Airport,BW,Sowa,SXN
Selebi Phikwe Airport,BW,-,PKW
Savuti Airport,BW,Savuti,SVT
Shakawe Airport,BW,Shakawe,SWX
Limpopo Valley Airport,BW,Tuli Lodge,TLD
Tshabong Airport,BW,Tshabong,TBY
Maya-Maya Airport,CG,Brazzaville,BZV
Djambala Airport,CG,Djambala,DJM
Kindamba Airport,CG,Kindamba,KNJ
Lague Airport,CG,Lague,LCO
Mouyondzi Airport,CG,Mouyondzi,MUY
Sibiti Airport,CG,Sibiti,SIB
Yokangassi Airport,CG,Nkayi,NKY
Zanaga Airport,CG,Zanaga,ANJ
Mossendjo Airport,CG,Mossendjo,MSX
Boundji Airport,CG,Boundji,BOE
Oyo Ollombo Airport,CG,Oyo,OLL
Ewo Airport,CG,Ewo,EWO
Gamboma Airport,CG,Gamboma,GMM
Impfondo Airport,CG,Impfondo,ION
Kelle Airport,CG,Kelle,KEE
Makoua Airport,CG,Makoua,MKJ
Owando Airport,CG,Owando,FTX
Souanke Airport,CG,Souanke,SOE
Betou Airport,CG,Betou,BTB
Ouesso Airport,CG,-,OUE
Makabana Airport,CG,Makabana,KMK
Ngot Nzoungou Airport,CG,Dolisie,DIS
Pointe Noire Airport,CG,Pointe Noire,PNR
Matsapha Airport,SZ,Manzini,MTS
King Mswati III International Airport,SZ,-,SHO
Fetlar Airport,GB,Fetlar Island,FEA
Carnot Airport,CF,Carnot,CRF
Bangui M'Poko International Airport,CF,Bangui,BGF
Bangassou Airport,CF,Bangassou,BGU
Birao Airport,CF,Birao,IRO
Bambari Airport,CF,Bambari,BBY
N'DÃ©lÃ© Airport,CF,N'DÃ©lÃ©,NDL
Bouar Airport,CF,Bouar,BOP
Bria Airport,CF,Bria,BIV
Bossangoa Airport,CF,Bossangoa,BSN
BerbÃ©rati Airport,CF,BerbÃ©rati,BBT
Ouadda Airport,CF,Ouadda,ODA
Yalinga Airport,CF,Yalinga,AIG
Zemio Airport,CF,Zemio,IMO
M'Boki Airport,CF,Mboki,MKI
Batangafo Airport,CF,Batangafo,BTG
Gordil Airport,CF,Melle,GDI
Bakouma Airport,CF,Bakouma,BMF
Ouanda DjallÃ© Airport,CF,Ouanda DjallÃ©,ODJ
RafaÃ¯ Airport,CF,RafaÃ¯,RFA
Bouca Airport,CF,Bouca,BCF
Bozoum Airport,CF,Bozoum,BOZ
AnnobÃ³n Airport,GQ,San Antonio de PalÃ©,NBN
Bata Airport,GQ,-,BSG
President Obiang Nguema International Airport,GQ,MengomeyÃ©n,GEM
Malabo Airport,GQ,Malabo,SSG
RAF Ascension Island,SH,Ascension Island,ASI
St. Helena Airport,SH,Jamestown,HLE
Sir Seewoosagur Ramgoolam International Airport,MU,Port Louis,MRU
Sir Charles Gaetan Duval Airport,MU,Port Mathurin,RRG
Finschhafen Airport,PG,Buki,FIN
Diego Garcia Naval Support Facility,IO,Diego Garcia,NKW
Nkongsamba Airport,CM,Nkongsamba,NKS
Kribi Airport,CM,Kribi,KBI
Tiko Airport,CM,Tiko,TKC
Douala International Airport,CM,Douala,DLA
Mamfe Airport,CM,Mamfe,MMF
Bali Airport,CM,Bali,BLC
KaÃ©lÃ© Airport,CM,KaÃ©lÃ©,KLE
Batouri Airport,CM,Batouri,OUR
Yagoua Airport,CM,Yagoua,GXX
Salak Airport,CM,Maroua,MVR
Foumban Nkounja Airport,CM,Foumban,FOM
N'GaoundÃ©rÃ© Airport,CM,N'GaoundÃ©rÃ©,NGE
Bertoua Airport,CM,Bertoua,BTA
Garoua International Airport,CM,Garoua,GOU
Dschang Airport,CM,Dschang,DSC
Bafoussam Airport,CM,Bafoussam,BFX
Bamenda Airport,CM,Bamenda,BPC
Ebolowa Airport,CM,Ebolowa,EBW
YaoundÃ© Airport,CM,YaoundÃ©,YAO
YaoundÃ© Nsimalen International Airport,CM,YaoundÃ©,NSI
Mbala Airport,ZM,Mbala,MMQ
Chipata Airport,ZM,Chipata,CIP
Fort Lee Army Airfield,US,Fort Lee,FLE
Jeki Airport,ZM,Lower Zambezi Natational Park,JEK
Kasompe Airport,ZM,Chingola,CGJ
Kalabo Airport,ZM,Kalabo,KLB
Kaoma Airport,ZM,Kaoma,KMZ
Kasama Airport,ZM,Kasama,KAA
Kasaba Bay Airport,ZM,Kasaba Bay,ZKB
Harry Mwanga Nkumbula International Airport,ZM,Livingstone,LVI
Lukulu Airport,ZM,Lukulu,LXU
Kenneth Kaunda International Airport,ZM,Lusaka,LUN
Mansa Airport,ZM,Mansa,MNS
Mfuwe Airport,ZM,Mfuwe,MFU
Mongu Airport,ZM,Mongu,MNR
Ngoma Airport,ZM,Ngoma,ZGM
Simon Mwansa Kapwepwe International Airport,ZM,Ndola,NLA
Royal Zambesi Lodge Airstrip,ZM,-,RYL
Senanga Airport,ZM,Senanga,SXG
Southdowns Airport,ZM,Kitwe,KIW
Sesheke Airport,ZM,Sesheke,SJQ
Solwesi Airport,ZM,Solwesi,SLI
Flat Airport,US,Flat,FLT
Zambezi Airport,ZM,Zambezi,BBZ
Ulithi Airport,FM,Falalop Island,ULI
Prince Said Ibrahim International Airport,KM,Moroni,HAH
MohÃ©li Bandar Es Eslam Airport,KM,-,NWA
Iconi Airport,KM,Moroni,YVA
Ouani Airport,KM,Ouani,AJN
Dzaoudzi Pamandzi International Airport,YT,Dzaoudzi,DZA
Roland Garros Airport,RE,St Denis,RUN
Pierrefonds Airport,RE,St Pierre,ZSE
Malaimbandy Airport,MG,Malaimbandy,WML
Antsirabe Airport,MG,Antsirabe,ATJ
Antsalova Airport,MG,Antsalova,WAQ
Mahanoro Airport,MG,Mahanoro,VVB
Ivato Airport,MG,Antananarivo,TNR
Ankavandra Airport,MG,Ankavandra,JVA
Belo sur Tsiribihina Airport,MG,Belo sur Tsiribihina,BMD
Miandrivazo Airport,MG,-,ZVA
Maintirano Airport,MG,Maintirano,MXT
Atsinanana Airport,MG,Ilaka,ILK
Morafenobe Airport,MG,Morafenobe,TVA
Sainte Marie Airport,MG,-,SMS
Toamasina Airport,MG,-,TMM
Tambohorano Airport,MG,Tambohorano,WTA
Morondava Airport,MG,-,MOQ
Tsiroanomandidy Airport,MG,Tsiroanomandidy,WTS
Vatomandry Airport,MG,Vatomandry,VAT
Ambatondrazaka Airport,MG,Ambatondrazaka,WAM
Arrachart Airport,MG,-,DIE
Ankaizina Airport,MG,Bealanana,WBE
Mananara Nord Airport,MG,Mananara Nord,WMR
Andapa Airport,MG,-,ZWA
Ambilobe Airport,MG,-,AMB
Avaratra Airport,MG,Befandriana,WBD
Port BergÃ© Airport,MG,Port BergÃ©,WPB
Antsirabato Airport,MG,-,ANM
Analalava Airport,MG,-,HVA
Amborovy Airport,MG,-,MJN
Fascene Airport,MG,Nosy Be,NOS
Soalala Airport,MG,Soalala,DWB
Mampikony Airport,MG,Mampikony,WMP
Besalampy Airport,MG,-,BPY
Maroantsetra Airport,MG,-,WMN
Sambava Airport,MG,-,SVB
Tsaratanana Airport,MG,Tsaratanana,TTS
Vohimarina Airport,MG,-,VOH
Ambalabe Airport,MG,Antsohihy,WAI
Mandritsara Airport,MG,Mandritsara,WMA
Ampampamena Airport,MG,-,IVA
Antsoa Airport,MG,Beroroha,WBO
Mandabe Airport,MG,Mandabe,WMD
TÃ´lanaro Airport,MG,TÃ´lanaro,FTU
Fianarantsoa Airport,MG,-,WFI
Farafangana Airport,MG,-,RVA
Ihosy Airport,MG,Ihosy,IHO
Manja Airport,MG,Manja,MJA
Manakara Airport,MG,-,WVK
Bekily Airport,MG,Bekily,OVA
Mananjary Airport,MG,-,MNJ
Samangoky Airport,MG,Tanandava,TDV
Morombe Airport,MG,-,MXM
Toliara Airport,MG,-,TLE
Vangaindrano Airport,MG,Vangaindrano,VND
Betioky Airport,MG,Betioky,BKU
Ampanihy Airport,MG,Ampanihy,AMP
Ankazoabo Airport,MG,Ankazoabo,WAK
Ambriz Airport,AO,Ambriz,AZZ
Mbanza Congo Airport,AO,Mbanza Congo,SSY
Benguela Airport,AO,Benguela,BUG
Lumbala Airport,AO,Lumbala N'guimbo,GGC
Cabinda Airport,AO,Cabinda,CAB
Cafunfo Airport,AO,Cafunfo,CFF
Chitato Airport,AO,Chitato,PGI
Catumbela Airport,AO,Catumbela,CBT
Cuito Cuanavale Airport,AO,Cuito Cuanavale,CTI
Camaxilo Airport,AO,Camaxilo,CXM
Cazombo Airport,AO,Cazombo,CAV
Dundo Airport,AO,Chitato,DUE
Fane Airport,PG,Fane Mission,FNE
Ngjiva Pereira Airport,AO,Ngiva,VPE
Nova Lisboa Airport,AO,Huambo,NOV
Kuito Airport,AO,Kuito,SVP
Lucapa Airport,AO,Lucapa,LBZ
Quatro de Fevereiro Airport,AO,Luanda,LAD
Luzamba Airport,AO,Luzamba,LZM
Malanje Airport,AO,Malanje,MEG
Menongue Airport,AO,Menongue,SPP
Namibe Airport,AO,Namibe,MSZ
Negage Airport,AO,Negage,GXG
Porto Amboim Airport,AO,Port Amboim,PBN
Saurimo Airport,AO,Saurimo,VHC
Soyo Airport,AO,Soyo,SZA
Sumbe Airport,AO,Sumbe,NDD
Luau Airport,AO,Luau,UAL
Lubango Airport,AO,Lubango,SDD
Luena Airport,AO,Luena,LUO
Uige Airport,AO,Uige,UGO
Waco Kungo Airport,AO,Waco Kungo,CEO
Xangongo Airport,AO,Xangongo,XGN
N'zeto Airport,AO,N'zeto,ARZ
Nzagi Airport,AO,Nzagi,NZA
Booue Airport,GA,Booue,BGB
Ndende Airport,GA,Ndende,KDN
Fougamou Airport,GA,Fougamou,FOU
M'Bigou Airport,GA,M'Bigou,MBC
Moabi Airport,GA,Moabi,MGX
Ville Airport,GA,N'DjolÃ©,KDJ
Koulamoutou Mabimbi Airport,GA,Koulamoutou,KOU
Mouilla Ville Airport,GA,Mouila,MJL
Oyem Airport,GA,Oyem,OYE
Okondja Airport,GA,Okondja,OKN
Lambarene Airport,GA,Lambarene,LBQ
Minvoul Airport,GA,Minvoul,MVX
Bitam Airport,GA,Bitam,BMM
Moanda Airport,GA,Moanda,MFF
Mekambo Airport,GA,Mekambo,MKB
Port Gentil Airport,GA,Port Gentil,POG
Omboue Hopital Airport,GA,Omboue,OMB
Tchongorove Airport,GA,Iguela,IGE
Makokou Airport,GA,Makokou,MKU
Libreville Leon M'ba International Airport,GA,Libreville,LBV
Mitzic Airport,GA,Mitzic,MZC
M'Vengue El Hadj Omar Bongo Ondimba International Airport,GA,Franceville,MVB
Lastourville Airport,GA,Lastourville,LTL
Sette Cama Airport,GA,Sette Cama,ZKM
Tchibanga Airport,GA,Tchibanga,TCH
Mayumba Airport,GA,Mayumba,MYB
Foya Airport,LR,Foya,FOY
Principe Airport,ST,-,PCP
SÃ£o TomÃ© International Airport,ST,SÃ£o TomÃ©,TMS
Angoche Airport,MZ,Angoche,ANO
Beira Airport,MZ,Beira,BEW
Cuamba Airport,MZ,Cuamba,FXO
Chimoio Airport,MZ,Chimoio,VPY
Inhaca Airport,MZ,Inhaca,IHC
Inhambane Airport,MZ,Inhambabe,INH
Lichinga Airport,MZ,Lichinga,VXC
Lumbo Airport,MZ,Lumbo,LFB
Maputo Airport,MZ,Maputo,MPM
Mueda Airport,MZ,Mueda,MUD
MocÃ­mboa da Praia Airport,MZ,MocÃ­mboa da Praia,MZB
Nacala Airport,MZ,Nacala,MNC
Nampula Airport,MZ,Nampula,APL
Pemba Airport,MZ,Pemba / Porto Amelia,POL
Ponta do Ouro Airport,MZ,Ponta do Ouro,PDD
Quelimane Airport,MZ,Quelimane,UEL
Chingozi Airport,MZ,Tete,TET
Vilankulo Airport,MZ,Vilanculo,VNX
Xai-Xai Airport,MZ,Xai-Xai,VJB
Croisette Heliport,FR,Cannes,JCA
Desroches Airport,SC,Desroches Island,DES
Seychelles International Airport,SC,Mahe Island,SEZ
Fossil Downs Airport,AU,Fossil Downs Station,FSL
Haley Army Airfield,US,Fort Sheridan,FSN
Praslin Airport,SC,Praslin Island,PRI
Bird Island Airport,SC,Bird Island,BDI
Denis Island Airport,SC,Denis Island,DEI
FrÃ©gate Island Airport,SC,FrÃ©gate Island,FRK
Sarh Airport,TD,Sarh,SRH
Bongor Airport,TD,Bongor,OGR
Abeche Airport,TD,-,AEH
Moundou Airport,TD,-,MQQ
Lai Airport,TD,Lai,LTC
Ati Airport,TD,Ati,ATV
N'Djamena International Airport,TD,N'Djamena,NDJ
Bokoro Airport,TD,Bokoro,BKR
Bol Airport,TD,Bol,OTC
Mongo Airport,TD,Mongo,MVO
Am Timan Airport,TD,Am Timan,AMC
Pala Airport,TD,Pala,PLF
Bousso Airport,TD,Bousso,OUT
Mao Airport,TD,Mao,AMO
Faya Largeau Airport,TD,-,FYT
Fulleborn Airport,PG,Fulleborn,FUB
Bumi Airport,ZW,Bumi,BZH
Joshua Mqabuko Nkomo International Airport,ZW,Bulawayo,BUQ
Chipinge Airport,ZW,Chipinge,CHJ
Buffalo Range Airport,ZW,Chiredzi,BFO
Victoria Falls International Airport,ZW,Victoria Falls,VFA
Robert Gabriel Mugabe International Airport,ZW,Harare,HRE
Kariba International Airport,ZW,Kariba,KAB
Mahenye Airport,ZW,Gonarezhou National Park,MJW
Mutare Airport,ZW,Mutare,UTA
Masvingo International Airport,ZW,Masvingo,MVZ
Thornhill Air Base,ZW,Gweru,GWE
Hwange National Park Airport,ZW,Hwange,HWN
Hwange (Town) Airport,ZW,Hwange,WKI
Chelinda Malawi Airport,MW,-,CEH
Chileka International Airport,MW,Blantyre,BLZ
Club Makokola Airport,MW,Club Makokola,CMK
Dwangwa Airport,MW,Dwangwa,DWA
Karonga Airport,MW,Karonga,KGJ
Kasungu Airport,MW,Kasungu,KBQ
Lilongwe International Airport,MW,Lilongwe,LLW
Likoma Island Airport,MW,Likoma Island,LIX
Mangochi Airport,MW,Mangochi,MAI
Monkey Bay Airport,MW,Monkey Bay,MYZ
Salima Airport,MW,Salima,LMB
Mzuzu Airport,MW,Mzuzu,ZZU
Lebakeng Airport,LS,Lebakeng,LEF
Leribe Airport,LS,Leribe,LRB
Lesobeng Airport,LS,Lesobeng,LES
Mafeteng Airport,LS,Mafeteng,MFC
Mokhotlong Airport,LS,Mokhotlong,MKH
Moshoeshoe I International Airport,LS,Maseru,MSU
Nkaus Airport,LS,Nkaus,NKU
Pelaneng Airport,LS,Pelaneng,PEL
Quthing Airport,LS,Quthing,UTG
Qacha's Nek Airport,LS,Qacha's Nek,UNE
Sehonghong Airport,LS,Sehonghong,SHK
Sekakes Airport,LS,Sekakes,SKQ
Semonkong Airport,LS,Semonkong,SOK
Seshutes Airport,LS,Seshutes,SHZ
Thaba-Tseka Airport,LS,Thaba-Tseka,THB
Tlokoeng Airport,LS,Tlokoeng,TKO
Ai-Ais Airport,NA,Ai-Ais,AIW
Arandis Airport,NA,Arandis,ADI
Gobabis Airport,NA,Gobabis,GOG
Grootfontein Airport,NA,Grootfontein,GFY
Halali Airport,NA,Halali,HAL
Karasburg Airport,NA,Karasburg,KAS
Katima Mulilo Airport,NA,Mpacha,MPA
Keetmanshoop Airport,NA,Keetmanshoop,KMP
Lianshulu Airport,NA,Lianshulu Lodge,LHU
Luderitz Airport,NA,Luderitz,LUD
Mount Etjo Airport,NA,Mount Etjo Safari Lodge,MJO
Midgard Airport,NA,Midgard,MQG
Mokuti Lodge Airport,NA,Mokuti Lodge,OKU
Namutoni Airport,NA,Namutoni,NNI
Ondangwa Airport,NA,Ondangwa,OND
Omega Airport,NA,Omega,OMG
Oranjemund Airport,NA,Oranjemund,OMD
Okaukuejo Airport,NA,Okaukuejo,OKF
Opuwa Airport,NA,Opuwa,OPW
Oshakati Airport,NA,Oshakati,OHI
Otjiwarongo Airport,NA,Otjiwarongo,OTJ
Rundu Airport,NA,Rundu,NDU
Skorpion Mine Airport,NA,Rosh Pinah,RHN
Swakopmund Airport,NA,Swakopmund,SWP
Sesriem Airstrip,NA,-,SZM
Terrace Bay Airport,NA,Terrace Bay,TCY
Tsumeb Airport,NA,Tsumeb,TSB
Walvis Bay Airport,NA,Walvis Bay,WVB
Eros Airport,NA,Windhoek,ERS
Hosea Kutako International Airport,NA,Windhoek,WDH
Ndjili International Airport,CD,Kinshasa,FIH
Ndolo Airport,CD,N'dolo,NLO
Muanda Airport,CD,-,MNB
Boma Airport,CD,Boma,BOA
Luozi Airport,CD,Luozi,LZI
Tshimpi Airport,CD,Matadi,MAT
N'Kolo-Fuma Airport,CD,N'Kolo-Fuma,NKL
Inongo Airport,CD,Inongo,INO
Nioki Airport,CD,Nioki,NIO
Bandundu Airport,CD,-,FDU
Basango Mboliasa Airport,CD,Kiri,KRZ
Kikwit Airport,CD,-,KKW
Idiofa Airport,CD,Idiofa,IDF
Lusanga Airport,CD,Lusanga,LUS
Masi Manimba Airport,CD,Masi Manimba,MSM
Mbandaka Airport,CD,Mbandaka,MDK
Basankusu Airport,CD,Basankusu,BSU
Libenge Airport,CD,Libenge,LIE
Gbadolite Airport,CD,-,BDT
Gemena Airport,CD,Gemena,GMA
Kotakoli Airport,CD,-,KLI
Bumbar Airport,CD,Bumbar,BMB
Lisala Airport,CD,-,LIQ
Boende Airport,CD,Boende,BNB
Ikela Airport,CD,Ikela,IKL
Bangoka International Airport,CD,Kisangani,FKI
Yangambi Airport,CD,Yangambi,YAN
Matari Airport,CD,-,IRP
Bunia Airport,CD,-,BUX
Buta Zega Airport,CD,-,BZU
Bukavu Kavumu Airport,CD,-,BKY
Rughenda Airfield,CD,Butembo,RUE
Goma International Airport,CD,Goma,GOM
Beni Airport,CD,Beni,BNC
Kindu Airport,CD,Kindu,KND
Kinkungwa Airport,CD,Kalima,KLY
Punia Airport,CD,Punia,PUN
Lubumbashi International Airport,CD,Lubumbashi,FBM
Pweto Airport,CD,Pweto,PWO
Kasenga Airport,CD,Kasenga,KEC
Kolwezi Airport,CD,-,KWZ
Manono Airport,CD,Manono,MNO
Moba Airport,CD,Moba,BDV
Kalemie Airport,CD,-,FMI
Kabalo Airport,CD,Kabalo,KBO
Kongolo Airport,CD,Kongolo,KOO
Kamina Base Airport,CD,-,KMN
Kapanga Airport,CD,Kapanga,KAP
Kaniama Airport,CD,Kaniama,KNM
Kananga Airport,CD,Kananga,KGA
Luiza Airport,CD,Luiza,LZA
Tshikapa Airport,CD,Tshikapa,TSH
Lodja Airport,CD,Lodja,LJA
Lusambo Airport,CD,Lusambo,LBO
Mweka Airport,CD,Mweka,MEW
Basongo Airport,CD,Basongo,BAN
Ilebo Airport,CD,Ilebo,PFR
Mbuji Mayi Airport,CD,Mbuji Mayi,MJM
Gandajika Airport,CD,Gandajika,GDJ
Tunta Airport,CD,Kabinda,KBN
Akieni Airport,GA,Akieni,AKE
Gamba Airport,GA,Gamba,GAX
Gabbs Airport,US,Gabbs,GAB
Modibo Keita International Airport,ML,Bamako,BKO
Goundam Airport,ML,Goundam,GUD
Gao Airport,ML,-,GAQ
Kenieba Airport,ML,Kenieba,KNZ
Koutiala Airport,ML,Koutiala,KTX
Kayes Dag Dag Airport,ML,-,KYS
Mopti Airport,ML,-,MZI
Nara Airport,ML,Nara,NRM
Nioro du Sahel Airport,ML,Nioro du Sahel,NIX
Sikasso Airport,ML,Sikasso,KSS
Timbuktu Airport,ML,Timbuktu,TOM
YÃ©limanÃ© Airport,ML,YÃ©limanÃ©,EYL
Guasopa Airport,PG,Woodlark (Muyua) Island,GAZ
Hoy/Longhope Airfield,GB,Orkney Isle,HOY
Dornoch Airfield,GB,Dornoch,DOC
Flotta Isle Airport,GB,Flotta Isle,FLH
Foula Airfield,GB,Foula,FOA
Outer Skerries Airport,GB,Grunay Island,OUK
Papa Stour Airport,GB,Papa Stour Island,PSV
Garbaharey Airport,SO,Garbaharey,GBM
Banjul International Airport,GM,Banjul,BJL
Fuerteventura Airport,ES,Fuerteventura Island,FUE
La Gomera Airport,ES,Alajero- La Gomera Island,GMZ
Hierro Airport,ES,El Hierro Island,VDE
La Palma Airport,ES,Sta Cruz de la Palma- La Palma Island,SPC
Gran Canaria Airport,ES,Gran Canaria Island,LPA
Lanzarote Airport,ES,Lanzarote Island,ACE
Tenerife South Airport,ES,Tenerife Island,TFS
Gravatai Airport,BR,Gravatai,GCV
Tenerife Norte Airport,ES,Tenerife Island,TFN
Gounda Airport,CF,Gounda,GDA
Ceuta Heliport,ES,Ceuta,JCU
Melilla Airport,ES,Melilla,MLN
Gewoia Airport,PG,Gewoia,GEW
Sherbro International Airport,SL,Bonthe,BTE
Bo Airport,SL,Bo,KBS
Pope Field,US,Greenfield,GFD
Gbangbatok Airport,SL,Gbangbatok,GBK
Hastings Airport,SL,Freetown,HGS
Kabala Airport,SL,Kabala,KBA
Kenema Airport,SL,Kenema,KEN
Lungi International Airport,SL,Freetown,FNA
Yengema Airport,SL,Yengema,WYE
Bubaque Airport,GW,Bubaque,BQE
Osvaldo Vieira International Airport,GW,Bissau,OXB
GarachinÃ© Airport,PA,GarachinÃ©,GHE
Groennedal Heliport,GL,Groennedal,JGR
Akunaq Heliport,GL,-,QCU
Buchanan Airport,LR,Buchanan,UCN
Cape Palmas Airport,LR,Harper,CPA
Greenville Sinoe Airport,LR,Greenville,SNI
Spriggs Payne Airport,LR,Monrovia,MLW
Nimba Airport,LR,Nimba,NIA
Gulgubip Airport,PG,Gulgubip,GLP
Roberts International Airport,LR,Monrovia,ROB
Sasstown Airport,LR,Sasstown,SAZ
Tchien Airport,LR,Tchien,THC
Voinjama Airport,LR,Voinjama,VOI
Al Massira Airport,MA,Agadir,AGA
Tan Tan Airport,MA,Tan Tan,TTA
Zagora Airport,MA,Zagora,OZG
Bouarfa Airport,MA,Bouarfa,UAR
SaÃ¯ss Airport,MA,Fes,FEZ
Moulay Ali Cherif Airport,MA,Errachidia,ERH
Bassatine Airport,MA,Meknes,MEK
Angads Airport,MA,Oujda,OUD
Smara Airport,EH,Smara,SMW
Ben Slimane Airport,MA,Ben Slimane,GMD
Anfa Airport,MA,Casablanca,CAS
Beni Mellal Airport,MA,Beni Mellal,BEM
Rabat-SalÃ© Airport,MA,Rabat,RBA
Sidi Ifni Xx Airport,MA,Sidi Ifni,SII
Dakhla Airport,EH,Dakhla,VIL
Mogador Airport,MA,Essaouira,ESU
Hassan I Airport,EH,El AaiÃºn,EUN
Mohammed V International Airport,MA,Casablanca,CMN
Safi Airport,MA,Safi,SFI
Nador International Airport,MA,Nador,NDR
Menara Airport,MA,Marrakech,RAK
Kenitra Airport,MA,-,NNA
Ouarzazate Airport,MA,Ouarzazate,OZZ
Golog Maqin Airport,CN,Golog,GMQ
Cherif Al Idrissi Airport,MA,Al Hoceima,AHU
Saniat R'mel Airport,MA,TÃ©touan,TTU
Ibn Batouta Airport,MA,Tangier,TNG
Sint-Denijs-Westrem Airport,BE,-,GNE
Goodnews Airport,US,Goodnews,GNU
Blaise Diagne International Airport,SN,Dakar,DSS
Gora Airstrip,PG,Gora,GOC
Kolda North Airport,SN,Kolda,KDA
Ziguinchor Airport,SN,Ziguinchor,ZIG
